estimator,importance,label
AUD_CAD_low,0.0012610116064024623,DE10YB_EUR_high
AUD_CAD_low,0.004145454393437831,DE10YB_EUR_ma30
AUD_CAD_low,0.0030335413066495676,DE10YB_EUR_vol
AUD_CAD_low,0.002935575401352253,DE30_EUR_high
AUD_CAD_low,0.00040064450513455085,DE30_EUR_open
AUD_CAD_low,0.0004004816037195269,EU50_EUR_ma30
AUD_CAD_low,0.0005969215053482912,EURMediumImpactExpected_next
AUD_CAD_low,0.001225778894877294,EUR_AUD_high
AUD_CAD_low,0.005055684705439489,EUR_CAD_high
AUD_CAD_low,0.000760575094318483,EUR_CAD_low
AUD_CAD_low,0.004282202815375058,EUR_CAD_vol
AUD_CAD_low,0.0071891550651344005,EUR_CZK_high
AUD_CAD_low,0.0033481426999060204,EUR_CZK_low
AUD_CAD_low,0.002593265384348342,EUR_DKK_close
AUD_CAD_low,0.0025848524892353453,EUR_DKK_vol
AUD_CAD_low,0.002687763007998001,EUR_GBP_ma30
AUD_CAD_low,0.00200789829614223,EUR_HKD_close
AUD_CAD_low,0.0021834959006810095,EUR_HUF_high
AUD_CAD_low,0.006714145771184121,EUR_JPY_close
AUD_CAD_low,0.004651912102417555,EUR_JPY_high
AUD_CAD_low,0.0011214534024475142,EUR_NOK_high
AUD_CAD_low,0.005285425786496489,EUR_NOK_low
AUD_CAD_low,0.001697121999313822,EUR_NZD_low
AUD_CAD_low,0.0018593222011986654,EUR_PLN_close
AUD_CAD_low,0.004420764686074108,EUR_PLN_high
AUD_CAD_low,0.00228706919006072,EUR_PLN_low
AUD_CAD_low,0.0007418190980388317,EUR_PLN_open
AUD_CAD_low,0.0055832391044532415,EUR_SGD_high
AUD_CAD_low,0.0008006224925338756,EUR_TRY_close
AUD_CAD_low,0.0009907977964758174,EUR_TRY_low
AUD_CAD_low,0.0015144763929129113,EUR_USD_close
AUD_CAD_low,0.00327242429011676,EUR_ZAR_vol
AUD_CAD_low,0.0014940699948056135,FR40_EUR_close
AUD_CAD_low,0.000627352696028538,FR40_EUR_low
AUD_CAD_low,0.0014195515923347557,FR40_EUR_vol
AUD_CAD_low,0.0011590457925194642,GBP_AUD_high
AUD_CAD_low,0.002901057796407258,GBP_CHF_open
AUD_CAD_low,0.0063950582007237244,GBP_HKD_high
AUD_CAD_low,0.0007099357972037978,GBP_HKD_low
AUD_CAD_low,0.0017333573996438645,GBP_NZD_close
AUD_CAD_low,0.0007656702946405858,GBP_NZD_high
AUD_CAD_low,0.0008156563981174259,GBP_NZD_low
AUD_CAD_low,0.0005797595003969036,GBP_PLN_open
AUD_CAD_low,0.0014877068006171612,GBP_SGD_close
AUD_CAD_low,0.0008598152999184094,GBP_SGD_vol
AUD_CAD_low,0.008947185586293926,GBP_USD_high
AUD_CAD_low,0.0008460874996671919,GBP_ZAR_high
AUD_CAD_low,0.0010322458965674741,GBP_ZAR_low
AUD_CAD_low,0.0008535929991921876,HK33_HKD_low
AUD_CAD_low,0.0022283448997768573,HKD_JPY_high
AUD_CAD_low,0.001736526604872779,IN50_USD_low
AUD_CAD_low,0.0026125811964448076,NAS100_USD_close
AUD_CAD_low,0.001061323291651206,NAS100_USD_high
AUD_CAD_low,0.0025507791033305693,NAS100_USD_low
AUD_CAD_low,0.0013200146931922063,NAS100_USD_vol
AUD_CAD_low,0.003323887514852686,NATGAS_USD_close
AUD_CAD_low,0.0011160060057591181,NATGAS_USD_low
AUD_CAD_low,0.0013427752965071704,NZD_CAD_close
AUD_CAD_low,0.006923327513504773,NZD_CAD_low
AUD_CAD_low,0.0009515004931017756,NZD_CAD_ma30
AUD_CAD_low,0.015750192796986084,NZD_CAD_open
AUD_CAD_low,0.0015034561001812108,NZD_CHF_high
AUD_CAD_low,0.0016031142040446866,NZD_HKD_open
AUD_CAD_low,0.0009473044992773794,NZD_JPY_vol
AUD_CAD_low,0.0020981571778975194,NZD_SGD_high
AUD_CAD_low,0.0013864329921489116,NZD_SGD_low
AUD_CAD_low,0.006605453028896591,SG30_SGD_high
AUD_CAD_low,0.0005153890015208162,SG30_SGD_vol
AUD_CAD_low,0.002135799599273014,SGD_CHF_low
AUD_CAD_low,0.0036263385991333053,SGD_CHF_ma30
AUD_CAD_low,0.0006151971028884873,SGD_CHF_open
AUD_CAD_low,0.002531676804210292,SGD_HKD_close
AUD_CAD_low,0.002811783213473973,SGD_HKD_low
AUD_CAD_low,0.0008930263047659537,SGD_HKD_vol
AUD_CAD_low,0.0035117073130095378,SGD_JPY_close
AUD_CAD_low,0.009051983197423397,SGD_JPY_high
AUD_CAD_low,0.00905614903786045,SGD_JPY_low
AUD_CAD_low,0.0016669461838318966,SGD_JPY_ma30
AUD_CAD_low,0.0012167125023552217,SOYBN_USD_close
AUD_CAD_low,0.003962725979363313,SOYBN_USD_high
AUD_CAD_low,0.0023963971179910004,SOYBN_USD_low
AUD_CAD_low,0.0027648295908875298,SOYBN_USD_ma30
AUD_CAD_low,0.00111332890628546,SOYBN_USD_vol
AUD_CAD_low,0.0016315841021423694,SPX500_USD_low
AUD_CAD_low,0.0008889896926120855,SUGAR_USD_close
AUD_CAD_low,0.0014576698958990164,SUGAR_USD_high
AUD_CAD_low,0.0007761747074255254,SUGAR_USD_low
AUD_CAD_low,0.0016386674033128656,SUGAR_USD_vol
AUD_CAD_low,0.0007395230986730894,TWIX_USD_open
AUD_CAD_low,0.0020064430173079018,TWIX_USD_vol
AUD_CAD_low,0.0005870886034244904,UK100_GBP_ma30
AUD_CAD_low,0.00029501840253942646,UK100_GBP_open
AUD_CAD_low,0.0014985901980253402,UK10YB_GBP_close
AUD_CAD_low,0.0006683921037620166,UK10YB_GBP_high
AUD_CAD_low,0.004943458101479337,UK10YB_GBP_ma30
AUD_CAD_low,0.0021014759950048756,US2000_USD_close
AUD_CAD_low,0.003270728111601784,US2000_USD_open
AUD_CAD_low,0.0015771714060974773,US30_USD_close
AUD_CAD_low,0.0017241760979231913,US30_USD_high
AUD_CAD_low,0.0026679930051614065,US30_USD_low
AUD_CAD_low,0.0012485463958000764,US30_USD_vol
AUD_CAD_low,0.003633347785580554,USB05Y_USD_high
AUD_CAD_low,0.009268516205338528,USB05Y_USD_ma30
AUD_CAD_low,0.001150788590166485,USB10Y_USD_close
AUD_CAD_low,0.0074060452134290244,USB10Y_USD_high
AUD_CAD_low,0.001511664693680359,USB10Y_USD_ma30
AUD_CAD_low,0.010896770530962385,USB30Y_USD_high
AUD_CAD_low,0.0009896560986817349,USB30Y_USD_ma30
AUD_CAD_low,0.001994139194721356,USB30Y_USD_open
AUD_CAD_low,0.0006429771055991296,USDMediumImpactExpected_next
AUD_CAD_low,0.0030283343148767017,USD_CHF_close
AUD_CAD_low,0.0027504631034389604,USD_CHF_high
