DATE,CURRENCY,IMPACT,EVENT,ACTUAL,FORECAST,PREVIOUS
2015-03-05 09:30:00,USD,Medium Impact Expected,Revised Nonfarm Productivity q/q,-2.2%,-2.3%,-1.8%
2015-03-05 09:30:00,USD,Low Impact Expected,Revised Unit Labor Costs q/q,4.1%,3.3%,2.7%
2015-03-05 11:00:00,CAD,High Impact Expected,Ivey PMI,49.7,49.4,45.4
2015-03-05 11:00:00,USD,Medium Impact Expected,FOMC Member Williams Speaks,,,
2015-03-05 11:00:00,USD,Medium Impact Expected,Factory Orders m/m,-0.2%,0.2%,-3.5%
2015-03-05 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-228B,-224B,-219B
2015-03-05 17:30:00,USD,Medium Impact Expected,Bank Stress Test Results,,,
2015-03-05 18:20:00,AUD,Low Impact Expected,AIG Construction Index,43.9,,45.9
2015-03-06 01:00:00,JPY,Low Impact Expected,Leading Indicators,105.1%,105.9%,105.6%
2015-03-06 03:00:00,EUR,Low Impact Expected,German Industrial Production m/m,0.6%,0.6%,1.0%
2015-03-06 03:45:00,EUR,Low Impact Expected,French Gov Budget Balance,-9.4B,,-85.6B
2015-03-06 03:45:00,EUR,Low Impact Expected,French Trade Balance,-3.7B,-3.0B,-3.3B
2015-03-06 04:00:00,CHF,High Impact Expected,Foreign Currency Reserves,509B,,499B
2015-03-06 04:15:00,CHF,Medium Impact Expected,CPI m/m,-0.3%,0.0%,-0.4%
2015-03-06 05:30:00,GBP,Low Impact Expected,Consumer Inflation Expectations,1.9%,,2.5%
2015-03-06 06:00:00,EUR,Low Impact Expected,Revised GDP q/q,0.3%,0.3%,0.3%
2015-03-06 09:30:00,CAD,High Impact Expected,Building Permits m/m,-12.9%,-4.2%,6.1%
2015-03-06 09:30:00,CAD,High Impact Expected,Trade Balance,-2.5B,-0.9B,-1.2B
2015-03-06 09:30:00,CAD,Low Impact Expected,Labor Productivity q/q,-0.1%,0.0%,0.2%
2015-03-06 09:30:00,USD,High Impact Expected,Non-Farm Employment Change,295K,240K,239K
2015-03-06 09:30:00,USD,High Impact Expected,Unemployment Rate,5.5%,5.6%,5.7%
2015-03-06 09:30:00,USD,Medium Impact Expected,Average Hourly Earnings m/m,0.1%,0.2%,0.5%
2015-03-06 09:30:00,USD,Medium Impact Expected,Trade Balance,-41.8B,-41.3B,-45.6B
2015-03-06 16:00:00,USD,Low Impact Expected,Consumer Credit m/m,11.6B,14.7B,17.9B
2015-03-07 22:29:00,CNY,High Impact Expected,Trade Balance,371B,20B,367B
2015-03-07 22:51:00,CNY,High Impact Expected,USD-Denominated Trade Balance,60.6B,7.8B,60.0B
2015-03-08 03:00:00,CAD,Non-Economic,Daylight Saving Time Shift,,,
2015-03-08 03:00:00,USD,Non-Economic,Daylight Saving Time Shift,,,
2015-03-08 17:45:00,NZD,Low Impact Expected,Manufacturing Sales q/q,-0.7%,,-1.1%
2015-03-08 19:50:00,JPY,Medium Impact Expected,Current Account,1.06T,1.16T,0.85T
2015-03-08 19:50:00,JPY,Medium Impact Expected,Final GDP q/q,0.4%,0.5%,0.6%
2015-03-08 19:50:00,JPY,Low Impact Expected,Bank Lending y/y,2.5%,,2.5%
2015-03-08 19:50:00,JPY,Low Impact Expected,Final GDP Price Index y/y,2.4%,2.3%,2.3%
2015-03-08 20:30:00,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,0.9%,,1.2%
2015-03-09 01:00:00,JPY,Low Impact Expected,Economy Watchers Sentiment,50.1,46.7,45.6
2015-03-09 03:00:00,EUR,Low Impact Expected,German Trade Balance,19.7B,20.4B,21.6B
2015-03-09 05:30:00,EUR,Low Impact Expected,Sentix Investor Confidence,18.6,15.3,12.4
2015-03-09 00:00:00,EUR,High Impact Expected,Eurogroup Meetings,,,
2015-03-09 08:13:00,CAD,Low Impact Expected,Housing Starts,156K,176K,187K
2015-03-09 10:00:00,USD,Low Impact Expected,Labor Market Conditions Index m/m,4.0,,4.8
2015-03-09 13:30:00,EUR,Medium Impact Expected,German Buba President Weidmann Speaks,,,
2015-03-09 19:50:00,JPY,Low Impact Expected,M2 Money Stock y/y,3.5%,3.5%,3.4%
2015-03-09 20:01:00,GBP,Low Impact Expected,BRC Retail Sales Monitor y/y,0.2%,,0.2%
2015-03-09 20:30:00,AUD,High Impact Expected,NAB Business Confidence,0,,4
2015-03-09 21:30:00,CNY,High Impact Expected,CPI y/y,1.4%,1.0%,0.8%
2015-03-09 21:30:00,CNY,Medium Impact Expected,PPI y/y,-4.8%,-4.3%,-4.3%
2015-03-10 02:00:00,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,28.9%,,20.4%
2015-03-10 02:45:00,CHF,Low Impact Expected,Unemployment Rate,3.2%,3.2%,3.2%
2015-03-10 03:45:00,EUR,Medium Impact Expected,French Industrial Production m/m,0.4%,-0.2%,1.4%
2015-03-10 05:00:00,EUR,Low Impact Expected,Italian Industrial Production m/m,-0.7%,0.2%,0.4%
2015-03-10 00:00:00,EUR,Medium Impact Expected,ECOFIN Meetings,,,
2015-03-10 09:00:00,USD,Low Impact Expected,NFIB Small Business Index,98.0,99.2,97.9
2015-03-10 10:00:00,USD,Medium Impact Expected,JOLTS Job Openings,5.00M,5.04M,4.88M
2015-03-10 10:00:00,USD,Low Impact Expected,Final Wholesale Inventories m/m,0.3%,0.0%,0.0%
2015-03-10 10:35:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
2015-03-10 14:30:00,GBP,Medium Impact Expected,MPC Member McCafferty Speaks,,,
2015-03-10 18:05:00,AUD,Medium Impact Expected,RBA Assist Gov Kent Speaks,,,
2015-03-10 19:30:00,AUD,Medium Impact Expected,Westpac Consumer Sentiment,-1.2%,,8.0%
2015-03-10 19:50:00,JPY,Medium Impact Expected,Core Machinery Orders m/m,-1.7%,-3.9%,8.3%
2015-03-10 19:50:00,JPY,Low Impact Expected,PPI y/y,0.5%,0.5%,0.3%
2015-03-10 20:30:00,AUD,Medium Impact Expected,Home Loans m/m,-3.5%,-1.9%,2.4%
2015-03-11 01:30:00,CNY,High Impact Expected,Industrial Production y/y,6.8%,7.7%,7.9%
2015-03-11 01:30:00,CNY,Medium Impact Expected,Fixed Asset Investment ytd/y,13.9%,15.1%,15.7%
2015-03-11 01:30:00,CNY,Low Impact Expected,Retail Sales y/y,10.7%,11.6%,11.9%
2015-03-11 02:30:00,EUR,Low Impact Expected,French Final Private Payrolls q/q,0.0%,0.0%,0.0%
2015-03-11 04:00:00,EUR,High Impact Expected,ECB President Draghi Speaks,,,
2015-03-11 05:30:00,GBP,High Impact Expected,Manufacturing Production m/m,-0.5%,0.2%,0.1%
2015-03-11 05:30:00,GBP,Low Impact Expected,Industrial Production m/m,-0.1%,0.2%,-0.2%
2015-03-11 10:30:00,USD,Medium Impact Expected,Crude Oil Inventories,4.5M,4.5M,10.3M
2015-03-11 10:57:00,GBP,Medium Impact Expected,NIESR GDP Estimate,0.6%,,0.6%
2015-03-11 11:00:00,GBP,Medium Impact Expected,MPC Member Weale Speaks,,,
2015-03-11 13:01:00,USD,Medium Impact Expected,10-y Bond Auction,2.14|2.6,,2.00|2.6
2015-03-11 16:00:00,NZD,High Impact Expected,Official Cash Rate,3.50%,3.50%,3.50%
2015-03-11 16:00:00,NZD,High Impact Expected,RBNZ Rate Statement,,,
2015-03-11 16:00:00,NZD,Medium Impact Expected,RBNZ Monetary Policy Statement,,,
2015-03-11 16:05:00,NZD,High Impact Expected,RBNZ Press Conference,,,
2015-03-11 16:30:00,USD,Medium Impact Expected,Bank Stress Test Results,,,
2015-03-11 17:45:00,NZD,Low Impact Expected,FPI m/m,-0.7%,,1.3%
2015-03-11 19:50:00,JPY,Medium Impact Expected,BSI Manufacturing Index,2.4,5.7,8.1
2015-03-11 19:50:00,JPY,Low Impact Expected,Tertiary Industry Activity m/m,1.4%,0.6%,0.0%
2015-03-11 20:00:00,AUD,Medium Impact Expected,MI Inflation Expectations,3.2%,,4.0%
2015-03-11 20:01:00,GBP,Low Impact Expected,RICS House Price Balance,14%,6%,7%
2015-03-11 20:05:00,GBP,Low Impact Expected,BOE Quarterly Bulletin,,,
2015-03-11 20:10:00,NZD,High Impact Expected,RBNZ Gov Wheeler Speaks,,,
2015-03-11 20:25:00,NZD,Low Impact Expected,REINZ HPI m/m,0.8%,,-1.0%
2015-03-11 20:30:00,AUD,High Impact Expected,Employment Change,15.6K,15.3K,-14.6K
2015-03-11 20:30:00,AUD,High Impact Expected,Unemployment Rate,6.3%,6.4%,6.4%
2015-03-12 01:00:00,JPY,Low Impact Expected,Consumer Confidence,40.7,39.9,39.1
2015-03-12 02:33:00,CNY,Medium Impact Expected,New Loans,1020B,755B,1470B
2015-03-12 02:33:00,CNY,Low Impact Expected,M2 Money Supply y/y,12.5%,11.1%,10.8%
2015-03-12 03:00:00,EUR,Low Impact Expected,German Final CPI m/m,0.9%,0.9%,0.9%
2015-03-12 03:45:00,EUR,Low Impact Expected,French Final CPI m/m,0.7%,0.6%,-1.0%
2015-03-12 05:30:00,GBP,Medium Impact Expected,Goods Trade Balance,-8.4B,-9.7B,-9.9B
2015-03-12 05:43:00,EUR,Low Impact Expected,Spanish 10-y Bond Auction,1.02|1.7,,1.62|2.0
2015-03-12 06:00:00,EUR,Medium Impact Expected,German Buba President Weidmann Speaks,,,
2015-03-12 06:00:00,EUR,Low Impact Expected,Industrial Production m/m,-0.1%,0.3%,0.3%
2015-03-12 08:30:00,CAD,Medium Impact Expected,NHPI m/m,-0.1%,0.2%,0.1%
2015-03-12 08:30:00,CAD,Low Impact Expected,Capacity Utilization Rate,83.6%,83.7%,83.2%
2015-03-12 08:30:00,USD,High Impact Expected,Core Retail Sales m/m,-0.1%,0.6%,-1.1%
2015-03-12 08:30:00,USD,High Impact Expected,Retail Sales m/m,-0.6%,0.3%,-0.8%
2015-03-12 08:30:00,USD,High Impact Expected,Unemployment Claims,289K,306K,325K
2015-03-12 08:30:00,USD,Medium Impact Expected,Import Prices m/m,0.4%,0.2%,-3.1%
2015-03-12 08:45:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
2015-03-12 10:00:00,USD,Medium Impact Expected,Business Inventories m/m,0.0%,0.2%,0.0%
2015-03-12 10:30:00,USD,Low Impact Expected,Natural Gas Storage,-198B,-189B,-228B
2015-03-12 13:01:00,USD,Low Impact Expected,30-y Bond Auction,2.68|2.2,,2.56|2.3
2015-03-12 14:00:00,USD,Low Impact Expected,Federal Budget Balance,-192.3B,-188.9B,-17.5B
2015-03-12 17:30:00,NZD,Medium Impact Expected,Business NZ Manufacturing Index,55.9,,50.7
2015-03-13 00:30:00,JPY,Low Impact Expected,Revised Industrial Production m/m,3.7%,4.0%,4.0%
2015-03-13 03:00:00,EUR,Low Impact Expected,German WPI m/m,0.5%,-0.2%,-0.4%
2015-03-13 05:00:00,GBP,Medium Impact Expected,MPC Member Shafik Speaks,,,
2015-03-13 05:30:00,GBP,Low Impact Expected,Construction Output m/m,-2.6%,1.4%,0.6%
2015-03-13 08:30:00,CAD,High Impact Expected,Employment Change,-1.0K,-3.5K,35.4K
2015-03-13 08:30:00,CAD,High Impact Expected,Unemployment Rate,6.8%,6.7%,6.6%
2015-03-13 08:30:00,USD,High Impact Expected,PPI m/m,-0.5%,0.2%,-0.8%
2015-03-13 08:30:00,USD,Medium Impact Expected,Core PPI m/m,-0.5%,0.1%,-0.1%
2015-03-13 10:00:00,USD,High Impact Expected,Prelim UoM Consumer Sentiment,91.2,95.6,95.4
2015-03-13 10:00:00,USD,Low Impact Expected,Prelim UoM Inflation Expectations,3.0%,,2.8%
2015-03-13 11:15:00,GBP,Medium Impact Expected,MPC Member Haldane Speaks,,,
2015-03-15 18:00:00,AUD,Medium Impact Expected,RBA Assist Gov Debelle Speaks,,,
2015-03-15 19:01:00,GBP,Low Impact Expected,Rightmove HPI m/m,1.0%,,2.1%
2015-03-15 20:30:00,AUD,Medium Impact Expected,New Motor Vehicle Sales m/m,2.9%,,-1.9%
2015-03-16 04:15:00,CHF,Medium Impact Expected,PPI m/m,-1.4%,0.4%,-0.6%
2015-03-16 04:15:00,CHF,Medium Impact Expected,Retail Sales y/y,-0.3%,2.6%,1.9%
2015-03-16 08:30:00,CAD,Medium Impact Expected,Foreign Securities Purchases,5.73B,-1.95B,-13.54B
2015-03-16 08:30:00,USD,Medium Impact Expected,Empire State Manufacturing Index,6.9,8.1,7.8
2015-03-16 09:15:00,USD,Medium Impact Expected,Capacity Utilization Rate,78.9%,79.5%,79.1%
2015-03-16 09:15:00,USD,Medium Impact Expected,Industrial Production m/m,0.1%,0.3%,-0.3%
2015-03-16 09:30:00,GBP,Low Impact Expected,CB Leading Index m/m,0.2%,,0.0%
2015-03-16 10:00:00,USD,Medium Impact Expected,NAHB Housing Market Index,53,57,55
2015-03-16 14:45:00,EUR,High Impact Expected,ECB President Draghi Speaks,,,
2015-03-16 16:00:00,USD,Low Impact Expected,TIC Long-Term Purchases,-27.2B,27.2B,39.2B
2015-03-16 20:30:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,,,
2015-03-16 22:00:00,CNY,Low Impact Expected,Foreign Direct Investment ytd/y,17.0%,,29.4%
2015-03-16 23:04:00,JPY,High Impact Expected,Monetary Policy Statement,,,
2015-03-17 02:32:00,JPY,High Impact Expected,BOJ Press Conference,,,
2015-03-17 06:00:00,EUR,High Impact Expected,German ZEW Economic Sentiment,54.8,58.9,53.0
2015-03-17 06:00:00,EUR,Medium Impact Expected,Final CPI y/y,-0.3%,-0.3%,-0.3%
2015-03-17 06:00:00,EUR,Medium Impact Expected,ZEW Economic Sentiment,62.4,58.2,52.7
2015-03-17 06:00:00,EUR,Low Impact Expected,Employment Change q/q,0.1%,0.1%,0.4%
2015-03-17 06:00:00,EUR,Low Impact Expected,Final Core CPI y/y,0.7%,0.6%,0.6%
2015-03-17 08:30:00,CAD,High Impact Expected,Manufacturing Sales m/m,-1.7%,-1.1%,1.6%
2015-03-17 08:30:00,USD,High Impact Expected,Building Permits,1.09M,1.07M,1.06M
2015-03-17 08:30:00,USD,Medium Impact Expected,Housing Starts,0.90M,1.05M,1.08M
2015-03-17 10:00:00,USD,Medium Impact Expected,Treasury Sec Lew Speaks,,,
2015-03-17 10:18:00,NZD,High Impact Expected,GDT Price Index,-8.8%,,1.1%
2015-03-17 17:45:00,NZD,Medium Impact Expected,Current Account,-3.19B,-3.12B,-5.02B
2015-03-17 19:30:00,AUD,Low Impact Expected,MI Leading Index m/m,0.3%,,0.1%
2015-03-17 19:50:00,JPY,Medium Impact Expected,Trade Balance,-0.64T,-1.21T,-0.41T
2015-03-18 01:00:00,JPY,Low Impact Expected,BOJ Monthly Report,,,
2015-03-18 05:00:00,EUR,Low Impact Expected,Italian Trade Balance,0.22B,4.32B,5.74B
2015-03-18 05:30:00,GBP,High Impact Expected,Average Earnings Index 3m/y,1.8%,2.2%,2.1%
2015-03-18 05:30:00,GBP,High Impact Expected,Claimant Count Change,-31.0K,-30.6K,-39.4K
2015-03-18 05:30:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,0-0-9,0-0-9,0-0-9
2015-03-18 05:30:00,GBP,Medium Impact Expected,MPC Asset Purchase Facility Votes,0-0-9,0-0-9,0-0-9
2015-03-18 05:30:00,GBP,Medium Impact Expected,Unemployment Rate,5.7%,5.6%,5.7%
2015-03-18 06:00:00,CHF,Low Impact Expected,Credit Suisse Economic Expectations,-37.9,,-73.0
2015-03-18 06:33:00,EUR,Low Impact Expected,German 10-y Bond Auction,0.25|2.4,,0.37|1.4
2015-03-18 08:30:00,CAD,High Impact Expected,Wholesale Sales m/m,-3.1%,-0.7%,2.8%
2015-03-18 08:30:00,GBP,High Impact Expected,Annual Budget Release,,,
2015-03-18 10:30:00,USD,Medium Impact Expected,Crude Oil Inventories,9.6M,4.0M,4.5M
2015-03-18 14:00:00,USD,High Impact Expected,FOMC Economic Projections,,,
2015-03-18 14:00:00,USD,High Impact Expected,FOMC Statement,,,
2015-03-18 14:00:00,USD,High Impact Expected,Federal Funds Rate,<0.25%,<0.25%,<0.25%
2015-03-18 14:00:00,USD,Medium Impact Expected,Treasury Sec Lew Speaks,,,
2015-03-18 14:30:00,USD,High Impact Expected,FOMC Press Conference,,,
2015-03-18 17:45:00,NZD,High Impact Expected,GDP q/q,0.8%,0.8%,0.9%
2015-03-18 20:30:00,AUD,Low Impact Expected,RBA Bulletin,,,
2015-03-19 00:30:00,JPY,Low Impact Expected,All Industries Activity m/m,1.9%,1.9%,-0.1%
2015-03-19 02:45:00,CHF,Low Impact Expected,SECO Economic Forecasts,,,
2015-03-19 03:00:00,CHF,Medium Impact Expected,Trade Balance,2.47B,2.87B,3.41B
2015-03-19 04:30:00,CHF,High Impact Expected,Libor Rate,-0.75%,-0.75%,-0.75%
2015-03-19 04:30:00,CHF,High Impact Expected,SNB Monetary Policy Assessment,,,
2015-03-19 04:30:00,CHF,High Impact Expected,SNB Press Conference,,,
2015-03-19 05:00:00,EUR,Low Impact Expected,ECB Economic Bulletin,,,
2015-03-19 00:00:00,EUR,High Impact Expected,EU Economic Summit,,,
2015-03-19 06:20:00,EUR,High Impact Expected,Long Term Refinancing Operation,97.8B,40.0B,129.8B
2015-03-19 06:36:00,GBP,Low Impact Expected,10-y Bond Auction,1.68|1.4,,1.62|1.6
2015-03-19 08:30:00,USD,High Impact Expected,Unemployment Claims,291K,295K,290K
2015-03-19 08:30:00,USD,Medium Impact Expected,Current Account,-113B,-103B,-99B
2015-03-19 10:00:00,USD,High Impact Expected,Philly Fed Manufacturing Index,5.0,7.2,5.2
2015-03-19 10:00:00,USD,Low Impact Expected,CB Leading Index m/m,0.2%,0.3%,0.2%
2015-03-19 10:00:00,USD,Low Impact Expected,FOMC Member Tarullo Speaks,,,
2015-03-19 10:30:00,USD,Low Impact Expected,Natural Gas Storage,-45B,-50B,-198B
2015-03-19 17:45:00,NZD,Low Impact Expected,Visitor Arrivals m/m,6.9%,,1.2%
2015-03-19 19:50:00,JPY,Medium Impact Expected,Monetary Policy Meeting Minutes,,,
2015-03-19 22:00:00,NZD,Low Impact Expected,Credit Card Spending y/y,5.8%,,6.2%
2015-03-19 22:10:00,AUD,High Impact Expected,RBA Gov Stevens Speaks,,,
2015-03-20 03:00:00,EUR,Low Impact Expected,German PPI m/m,0.1%,0.2%,-0.6%
2015-03-20 05:00:00,EUR,Low Impact Expected,Current Account,29.4B,21.3B,22.5B
2015-03-20 05:30:00,GBP,Medium Impact Expected,Public Sector Net Borrowing,6.2B,7.7B,-8.9B
2015-03-20 00:00:00,EUR,Medium Impact Expected,EU Economic Summit,,,
2015-03-20 08:30:00,CAD,High Impact Expected,Core CPI m/m,0.6%,0.6%,0.2%
2015-03-20 08:30:00,CAD,High Impact Expected,Core Retail Sales m/m,-1.8%,-0.4%,-2.0%
2015-03-20 08:30:00,CAD,Medium Impact Expected,CPI m/m,0.9%,0.7%,-0.2%
2015-03-20 08:30:00,CAD,Medium Impact Expected,Retail Sales m/m,-1.7%,-0.7%,-1.8%
2015-03-20 10:20:00,USD,Medium Impact Expected,FOMC Member Lockhart Speaks,,,
2015-03-20 11:30:00,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
2015-03-22 17:00:00,NZD,Low Impact Expected,Westpac Consumer Sentiment,117.4,,114.8
2015-03-23 07:00:00,EUR,Low Impact Expected,German Buba Monthly Report,,,
2015-03-23 07:00:00,GBP,Medium Impact Expected,CBI Industrial Order Expectations,0,9,10
2015-03-23 10:00:00,EUR,High Impact Expected,ECB President Draghi Speaks,,,
2015-03-23 10:00:00,USD,Medium Impact Expected,Existing Home Sales,4.88M,4.91M,4.82M
2015-03-23 11:00:00,EUR,Low Impact Expected,Consumer Confidence,-4,-6,-7
2015-03-23 12:20:00,USD,High Impact Expected,FOMC Member Fischer Speaks,,,
2015-03-23 19:00:00,AUD,Low Impact Expected,CB Leading Index m/m,0.4%,,0.3%
2015-03-23 21:15:00,USD,Medium Impact Expected,FOMC Member Williams Speaks,,,
2015-03-23 21:35:00,JPY,Low Impact Expected,Flash Manufacturing PMI,50.4,52.1,51.6
2015-03-23 21:45:00,CNY,High Impact Expected,Caixin Flash Manufacturing PMI,49.2,50.5,50.7
2015-03-23 22:00:00,CNY,Low Impact Expected,CB Leading Index m/m,1.5%,,0.5%
2015-03-24 00:50:00,AUD,Medium Impact Expected,RBA Assist Gov Edey Speaks,,,
2015-03-24 04:00:00,EUR,High Impact Expected,French Flash Manufacturing PMI,48.2,48.9,47.6
2015-03-24 04:00:00,EUR,Medium Impact Expected,French Flash Services PMI,52.8,53.1,53.4
2015-03-24 04:30:00,EUR,High Impact Expected,German Flash Manufacturing PMI,52.4,51.5,51.1
2015-03-24 04:30:00,EUR,Medium Impact Expected,German Flash Services PMI,55.3,55.0,54.7
2015-03-24 05:00:00,EUR,Medium Impact Expected,Flash Manufacturing PMI,51.9,51.6,51.0
2015-03-24 05:00:00,EUR,Medium Impact Expected,Flash Services PMI,54.3,53.9,53.7
2015-03-24 05:30:00,GBP,High Impact Expected,CPI y/y,0.0%,0.1%,0.3%
2015-03-24 05:30:00,GBP,Medium Impact Expected,PPI Input m/m,0.2%,1.6%,-3.6%
2015-03-24 05:30:00,GBP,Medium Impact Expected,RPI y/y,1.0%,0.9%,1.1%
2015-03-24 05:30:00,GBP,Low Impact Expected,Core CPI y/y,1.2%,1.3%,1.4%
2015-03-24 05:30:00,GBP,Low Impact Expected,ONS HPI y/y,8.4%,10.2%,9.8%
2015-03-24 05:30:00,GBP,Low Impact Expected,PPI Output m/m,0.2%,-0.1%,-0.4%
2015-03-24 08:30:00,USD,High Impact Expected,CPI m/m,0.2%,0.2%,-0.7%
2015-03-24 08:30:00,USD,High Impact Expected,Core CPI m/m,0.2%,0.1%,0.2%
2015-03-24 09:00:00,USD,Low Impact Expected,HPI m/m,0.3%,0.5%,0.7%
2015-03-24 09:45:00,USD,Medium Impact Expected,Flash Manufacturing PMI,55.3,54.9,55.1
2015-03-24 09:59:00,USD,Low Impact Expected,Richmond Manufacturing Index,-8,2,0
2015-03-24 10:00:00,EUR,Low Impact Expected,Belgian NBB Business Climate,-6.3,-7.5,-8.3
2015-03-24 10:00:00,USD,Medium Impact Expected,New Home Sales,539K,466K,500K
2015-03-24 17:45:00,NZD,High Impact Expected,Trade Balance,50M,375M,33M
2015-03-24 19:50:00,JPY,Low Impact Expected,SPPI y/y,3.3%,3.3%,3.5%
2015-03-24 20:30:00,AUD,Medium Impact Expected,RBA Financial Stability Review,,,
2015-03-25 03:00:00,CHF,Low Impact Expected,UBS Consumption Indicator,1.19,,1.11
2015-03-25 05:00:00,EUR,High Impact Expected,German Ifo Business Climate,107.9,107.4,106.8
2015-03-25 05:30:00,GBP,Low Impact Expected,High Street Lending,37.3K,36.9K,36.5K
2015-03-25 06:30:00,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
2015-03-25 08:30:00,USD,High Impact Expected,Core Durable Goods Orders m/m,-0.4%,0.3%,0.0%
2015-03-25 08:30:00,USD,Medium Impact Expected,Durable Goods Orders m/m,-1.4%,0.3%,2.0%
2015-03-25 10:00:00,CHF,Low Impact Expected,SNB Quarterly Bulletin,,,
2015-03-25 10:30:00,USD,Medium Impact Expected,Crude Oil Inventories,8.2M,5.0M,9.6M
2015-03-25 15:45:00,CAD,Medium Impact Expected,Gov Council Member Lane Speaks,,,
2015-03-26 03:00:00,EUR,Medium Impact Expected,German GfK Consumer Climate,10.0,9.8,9.7
2015-03-26 05:00:00,EUR,Medium Impact Expected,M3 Money Supply y/y,4.0%,4.3%,3.7%
2015-03-26 05:00:00,EUR,Medium Impact Expected,Private Loans y/y,-0.1%,0.1%,-0.2%
2015-03-26 05:30:00,GBP,High Impact Expected,Retail Sales m/m,0.7%,0.4%,0.1%
2015-03-26 05:30:00,GBP,Medium Impact Expected,FPC Statement,,,
2015-03-26 07:00:00,GBP,Medium Impact Expected,CBI Realized Sales,18,16,1
2015-03-26 08:30:00,USD,High Impact Expected,Unemployment Claims,282K,291K,291K
2015-03-26 09:00:00,USD,Medium Impact Expected,FOMC Member Lockhart Speaks,,,
2015-03-26 09:30:00,CAD,High Impact Expected,BOC Gov Poloz Speaks,,,
2015-03-26 09:45:00,USD,Low Impact Expected,Flash Services PMI,58.6,57.2,57.1
2015-03-26 10:30:00,USD,Low Impact Expected,Natural Gas Storage,12B,10B,-45B
2015-03-26 13:00:00,CHF,High Impact Expected,Gov Board Member Zurbrugg Speaks,,,
2015-03-26 13:30:00,GBP,Medium Impact Expected,BOE Gov Carney Speaks,,,
2015-03-26 19:30:00,JPY,Medium Impact Expected,Household Spending y/y,-2.9%,-3.1%,-5.1%
2015-03-26 19:30:00,JPY,Medium Impact Expected,Tokyo Core CPI y/y,2.2%,2.2%,2.2%
2015-03-26 19:30:00,JPY,Low Impact Expected,National Core CPI y/y,2.0%,2.1%,2.2%
2015-03-26 19:30:00,JPY,Low Impact Expected,Unemployment Rate,3.5%,3.5%,3.6%
2015-03-26 19:50:00,JPY,Medium Impact Expected,Retail Sales y/y,-1.8%,-1.4%,-2.0%
2015-03-27 03:00:00,EUR,Low Impact Expected,German Import Prices m/m,1.4%,0.5%,-0.8%
2015-03-27 03:00:00,GBP,Medium Impact Expected,Nationwide HPI m/m,0.1%,0.2%,-0.1%
2015-03-27 04:00:00,GBP,Medium Impact Expected,MPC Member Haldane Speaks,,,
2015-03-27 04:45:00,GBP,Medium Impact Expected,BOE Gov Carney Speaks,,,
2015-03-27 05:15:00,GBP,Medium Impact Expected,MPC Member Broadbent Speaks,,,
2015-03-27 06:00:00,EUR,Low Impact Expected,Italian Retail Sales m/m,0.1%,0.1%,-0.1%
2015-03-27 06:30:00,USD,Medium Impact Expected,FOMC Member Fischer Speaks,,,
2015-03-27 08:30:00,USD,High Impact Expected,Final GDP q/q,2.2%,2.4%,2.2%
2015-03-27 08:30:00,USD,Low Impact Expected,Final GDP Price Index q/q,0.1%,0.1%,0.1%
2015-03-27 10:00:00,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,93.0,92.5,91.2
2015-03-27 10:00:00,USD,Low Impact Expected,Revised UoM Inflation Expectations,3.0%,,3.0%
2015-03-27 15:45:00,USD,High Impact Expected,Fed Chair Yellen Speaks,,,
2015-03-28 21:00:00,CHF,Non-Economic,Daylight Saving Time Shift,,,
2015-03-28 21:00:00,EUR,Non-Economic,Daylight Saving Time Shift,,,
2015-03-28 21:00:00,GBP,Non-Economic,Daylight Saving Time Shift,,,
2015-03-29 19:50:00,JPY,Medium Impact Expected,Prelim Industrial Production m/m,-3.4%,-1.8%,3.7%
2015-03-30 00:00:00,EUR,Medium Impact Expected,German Prelim CPI m/m,0.5%,0.4%,0.9%
2015-03-30 03:00:00,CHF,Medium Impact Expected,KOF Economic Barometer,90.8,89.3,90.3
2015-03-30 03:00:00,EUR,Medium Impact Expected,Spanish Flash CPI y/y,-0.7%,-1.0%,-1.1%
2015-03-30 04:30:00,GBP,Medium Impact Expected,Net Lending to Individuals m/m,2.5B,2.5B,2.4B
2015-03-30 04:30:00,GBP,Low Impact Expected,M4 Money Supply m/m,-0.2%,-0.2%,-0.7%
2015-03-30 04:30:00,GBP,Low Impact Expected,Mortgage Approvals,62K,62K,61K
2015-03-30 05:21:00,EUR,Low Impact Expected,Italian 10-y Bond Auction,1.34|1.5,,1.36|1.5
2015-03-30 08:30:00,CAD,Medium Impact Expected,RMPI m/m,6.1%,5.1%,-7.8%
2015-03-30 08:30:00,CAD,Low Impact Expected,IPPI m/m,1.8%,0.6%,-0.3%
2015-03-30 08:30:00,USD,Medium Impact Expected,Core PCE Price Index m/m,0.1%,0.1%,0.1%
