INDEX	UK10YB_GBP	USB10Y_USD	GBP_USD
211	122,546	119,013	1,34296
212	122,968	118,996	1,34322
213	122,947	119,042	1,34164
214	122,971	119,026	1,33639
215	122,989	119,119	1,33222
216	122,957	119,384	1,33375
217	123,027	119,399	1,33469
218	123,051	119,351	1,33584
219	122,938	119,553	1,33682
220	123,047	119,552	1,34074
221	123,017	119,677	1,33952
222	122,706	119,457	1,33865
223	122,401	119,643	1,3379
224	122,864	119,642	1,33714
225	122,803	119,642	1,33689
226	122,675	119,609	1,33738
227	122,673	119,593	1,33455
228	122,439	119,701	1,33166
229	122,449	119,951	1,32963
230	122,301	120,012	1,33127
231	121,934	120,137	1,33408
232	122,005	119,937	1,33229
233	122,04	119,889	1,33055
234	122,3	119,982	1,33124
235	122,586	120,341	1,33124
236	122,892	120,434	1,33115
237	122,922	120,244	1,33182
238	123,056	120,274	1,32323
239	122,621	120,852	1,32859
240	122,846	120,382	1,32438
241	122,795	120,882	1,32546
242	122,58	121,225	1,32468
243	122,599	121,192	1,32543
244	122,869	121,004	1,32746
245	122,902	120,706	1,32909
246	122,991	120,72	1,32922
247	123,13	120,654	1,3283
248	123,547	120,638	1,32982
249	123,575	120,7	1,33016
250	123,573	120,668	1,3334
251	123,667	120,416	1,33176
252	123,635	120,635	1,32932
253	123,88	120,729	1,32962
254	123,784	120,602	1,32904
255	123,802	120,555	1,32625
256	123,624	120,554	1,32948
257	123,818	120,491	1,33146
258	123,731	120,145	1,33475
259	123,568	120,27	1,33473
260	123,117	120,191	1,3367
261	123,156	120,057	1,33712
262	123,079	120,087	1,33665
263	123,187	120,071	1,33794
264	123,185	120,149	1,33134
265	123,284	119,976	1,33146
266	123,125	119,865	1,33141
267	123,234	119,927	1,33082
268	123,192	119,895	1,33743
269	123,084	119,989	1,3373
270	123,107	120,192	1,33816
271	123,12	120,238	1,33946
272	123,184	120,05	1,34087
273	123,554	120,002	1,34002
274	123,296	119,97	1,34094
275	123,354	119,969	1,34168
276	123,07	119,874	1,34109
277	122,636	119,67	1,34154
278	122,639	119,716	1,34318
279	122,642	119,637	1,3432
280	122,907	119,731	1,34588
281	122,466	119,589	1,34195
282	122,413	119,651	1,3413
283	122,568	119,886	1,34239
284	122,445	120,073	1,34198
285	122,614	119,9	1,3426
286	122,864	120,009	1,34058
287	123,4	120,259	1,33646
288	122,955	119,992	1,34104
289	123,074	120,054	1,34097
290	122,544	119,897	1,34188
291	122,271	119,841	1,34132
292	122,118	119,84	1,33675
293	122,392	119,808	1,3379
294	122,129	119,808	1,33794
295	122,238	119,807	1,33807
296	121,867	119,838	1,33552
297	122,047	119,884	1,33636
298	121,844	119,805	1,34008
299	121,977	119,804	1,33786
300	121,815	119,647	1,33952
301	121,853	119,756	1,33695
302	121,514	119,771	1,33674
303	121,573	119,755	1,33591
304	121,702	119,723	1,33242
305	121,916	119,816	1,335
306	121,964	119,768	1,3386
307	122,033	119,799	1,33782
308	122,569	119,642	1,33747
309	122,446	119,594	1,33926
310	122,656	119,766	1,344
311	122,813	119,734	1,33336
312	122,917	119,906	1,33002
313	122,975	119,889	1,32626
314	122,898	119,857	1,32486
315	122,986	119,982	1,32525
316	122,995	119,95	1,32731
317	122,666	119,981	1,3277
318	122,453	120,105	1,32839
319	122,501	120,011	1,3278
320	122,665	119,963	1,32636
321	122,935	120,017	1,32676
322	123,094	120,079	1,32422
323	123,247	120,079	1,3242
324	123,366	120,109	1,32414
325	123,143	119,952	1,32447
326	123,063	119,998	1,32651
327	122,672	120,139	1,32581
328	122,628	120,295	1,31877
329	122,219	120,435	1,3171
330	122,308	120,325	1,31728
331	122,406	120,308	1,31758
332	122,479	120,182	1,31606
333	122,879	120,213	1,31594
334	122,807	120,197	1,31602
335	122,85	120,133	1,31947
336	122,748	120,133	1,31957
337	122,545	120,038	1,31684
338	122,206	119,881	1,31718
339	122,304	119,911	1,31542
340	122,312	119,817	1,31112
341	122,165	120,035	1,32432
342	122,103	120,082	1,32486
343	121,81	120,206	1,32437
344	121,973	120,206	1,32587
345	122,132	120,127	1,32634
346	121,98	120,157	1,33086
347	121,551	120,047	1,32904
348	121,67	120,078	1,32528
349	121,407	120,14	1,32661
350	121,631	120,233	1,32594
351	121,699	120,381	1,32616
352	122,019	120,381	1,32443
353	122,211	120,411	1,32732
354	122,029	120,254	1,32656
355	122,212	120,363	1,32825
356	121,739	120,3	1,32772
357	121,877	120,299	1,32894
358	121,866	120,298	1,32616
359	122,45	120,251	1,32425
360	122,519	120,36	1,32276
361	122,567	120,343	1,32209
362	122,47	120,327	1,32274
363	122,769	120,295	1,32222
364	122,978	120,31	1,31954
365	123,191	120,623	1,31532
366	123,713	120,575	1,31402
367	123,809	120,637	1,31116
368	125,148	120,731	1,31132
369	124,239	120,714	1,31095
370	125,029	120,667	1,3087
371	124,626	120,65	1,30549
372	124,539	120,712	1,30954
373	124,432	120,555	1,30765
374	124,084	120,601	1,30748
375	124,473	120,616	1,31161
376	124,601	120,459	1,31651
377	124,273	120,443	1,31424
378	123,971	120,567	1,31938
379	124,099	120,551	1,32097
380	123,97	120,425	1,3191
381	124,028	120,495	1,31758
382	123,784	120,51	1,31717
383	123,736	120,666	1,31126
384	124,038	120,587	1,31241
385	124,006	120,398	1,31442
386	123,554	120,35	1,31304
387	123,447	120,35	1,3133
388	123,026	120,459	1,319
389	122,746	120,333	1,31908
390	122,886	120,332	1,31656
391	122,995	120,613	1,31951
392	123,443	120,675	1,32064
393	123,007	120,628	1,32006
394	122,985	120,564	1,32063
395	122,856	120,564	1,3212
396	122,814	120,579	1,32228
397	122,762	120,547	1,32283
398	122,674	120,577	1,32204
399	122,632	120,576	1,3223
400	122,832	120,434	1,32385
401	123,168	120,512	1,32662
402	123,217	120,621	1,32224
403	123,094	120,636	1,32179
404	122,986	120,62	1,32156
405	123,57	120,556	1,32174
406	123,679	120,603	1,32468
407	123,657	120,79	1,3248
408	123,64	120,633	1,32635
409	123,618	120,679	1,3283
410	123,711	120,592	1,32858
411	123,649	120,545	1,32975
412	123,597	120,466	1,33416
413	124,033	120,465	1,33492
414	124,052	120,433	1,32153
415	124,06	120,417	1,32606
416	123,952	120,353	1,32572
417	123,94	120,337	1,32372
418	123,782	120,336	1,32496
419	123,921	120,304	1,32728
420	123,647	120,335	1,32509
421	124,14	120,444	1,32723
422	123,729	120,647	1,32534
423	123,687	120,568	1,32588
424	123,605	120,552	1,32572
425	123,869	120,457	1,32657
426	123,636	120,409	1,32208
427	123,856	120,456	1,32068
428	123,657	120,439	1,32037
429	123,91	120,407	1,32079
430	123,724	120,407	1,32112
431	124,181	120,375	1,32234
432	124,27	120,421	1,32198
433	124,278	120,483	1,32039
434	124,236	120,436	1,31802
435	124,39	120,403	1,3171
436	124,167	120,528	1,31288
437	123,716	120,59	1,31552
438	123,987	120,605	1,32172
439	123,975	120,651	1,32362
440	123,997	120,596	1,32354
441	124,126	120,611	1,32396
442	124,105	120,532	1,32534
443	123,826	120,5	1,3256
444	124,035	120,39	1,32299
445	124,326	120,405	1,32338
446	124,127	120,388	1,32336
447	124,105	120,325	1,32461
448	123,902	120,371	1,32628
449	123,754	120,465	1,31555
450	123,903	120,401	1,31329
451	124,164	120,369	1,31134
452	124,106	120,322	1,31147
453	124,266	120,352	1,31031
454	124,052	120,367	1,3037
455	123,712	120,445	1,30394
456	123,741	120,382	1,30606
457	124,056	120,318	1,30712
458	123,792	120,208	1,30778
459	123,7	120,192	1,30774
460	123,668	120,207	1,30104
461	123,852	120,284	1,29636
462	123,629	120,55	1,29898
463	123,768	120,581	1,30146
464	123,822	120,47	1,30191
465	123,83	120,564	1,30296
466	123,843	120,5	1,30131
467	124,214	120,515	1,30818
468	124,071	120,249	1,31191
469	123,989	120,248	1,3135
470	123,86	120,271	1,31488
471	123,909	120,239	1,31434
472	123,877	120,254	1,31226
473	123,819	120,159	1,31318
474	124,099	119,767	1,31059
475	124,057	119,766	1,30997
476	124,352	119,75	1,31004
477	124,602	119,781	1,30876
478	124,379	119,78	1,31142
479	124,362	119,67	1,31164
480	124,652	119,716	1,3138
481	124,861	119,762	1,31459
482	124,834	119,824	1,31494
483	124,641	119,855	1,31422
484	124,337	119,839	1,3159
485	124,249	119,807	1,31622
486	124,227	119,853	1,31504
487	123,924	119,555	1,31882
488	123,786	119,633	1,3205
489	123,845	119,601	1,3201
490	123,903	119,631	1,3179
491	123,977	119,693	1,31602
492	123,914	119,63	1,31304
493	123,913	119,535	1,31094
494	123,745	119,55	1,31031
495	123,884	119,55	1,31076
496	123,837	119,518	1,30922
497	123,734	119,689	1,31046
498	123,883	119,689	1,31128
499	123,872	119,704	1,31067
