INSTRUMENT,PREDICTION,MEAN,RELATIVE
USD_TRY_close,6.421633999999999,3.63912,1.764611774275099
EUR_TRY_close,7.249679,4.193906606822262,1.7286219459934775
BCO_USD_close,78.1031,56.791529622980256,1.3752596649271476
WTICO_USD_close,71.1482,52.765398563734294,1.3483874269245115
NAS100_USD_close,7540.56,5720.6865350089765,1.31812151458639
SUGAR_USD_close,0.1107067,0.0863806104129264,1.2816151619071372
XPD_USD_close,1046.3845999999999,833.2122172351885,1.2558440435165148
US30_USD_close,26517.079999999998,21174.534111310593,1.2523099616078746
US2000_USD_close,1723.8452000000002,1387.181104129264,1.2426965699493584
SPX500_USD_close,2924.76,2373.2849192100543,1.2323678359585684
WHEAT_USD_close,5.010199999999999,4.068005385996409,1.231610955395235
IN50_USD_close,11373.58,9290.171633752243,1.2242594053567857
JP225_USD_close,23766.1,19453.54039497307,1.221685077238759
CHF_ZAR_close,15.168492,12.644585906642728,1.1996036969491708
EUR_NZD_close,1.7630484999999996,1.4708457450628367,1.1986630861312242
EUR_ZAR_close,17.045904,14.229614452423698,1.1979174879960721
EUR_AUD_close,1.6138604666666665,1.3618989228007181,1.1850075212246989
XAU_XAG_close,83.89930000000001,71.04526750448834,1.180927357261335
GBP_ZAR_close,18.929620399999997,16.218297594254935,1.1671767822724812
GBP_NZD_close,1.9640448333333336,1.6834900897666067,1.1666506653482125
EUR_GBP_close,0.8946099583333332,0.7697611131059245,1.162191676224918
USD_ZAR_close,14.401295,12.417873087971273,1.1597231585455638
GBP_AUD_close,1.8079137000000003,1.5597551166965888,1.1591009900509173
USD_INR_close,71.72470000000001,62.263876122082586,1.1519472359762395
EUR_USD_close,1.173919380952381,1.0235961759425496,1.1468579196980786
AUD_NZD_close,1.0911864583333333,0.9570447396768403,1.1401624324290083
SGD_CHF_close,0.7026623679653681,0.6188042010771994,1.1355164795943378
FR40_EUR_close,5497.910000000001,4857.6849192100535,1.1317963374401112
CAD_CHF_close,0.7415704833333333,0.655254578096948,1.131728809109693
EUR_CAD_close,1.520176,1.3455247396768404,1.1298015972304651
EUR_SGD_close,1.6020710277777777,1.4206867324955117,1.12767367438116
CAD_SGD_close,1.055390566666667,0.9360110771992818,1.127540680207109
TWIX_USD_close,406.67,361.26678635547574,1.1256777964632732
EUR_CHF_close,1.1285725666666666,1.0032512387791743,1.1249151987492105
AU200_AUD_close,6178.299999999999,5500.451526032316,1.1232350600236343
EUR_SEK_close,10.314514883333334,9.241819515260323,1.1160697161745856
GBP_USD_close,1.31009,1.1740477019748656,1.1158745916339665
NL25_EUR_close,549.0680999999998,492.08473967684023,1.1157998932472108
USD_CAD_close,1.2941573666666666,1.167101526032316,1.108864428501169
USD_CHF_close,0.9611933333333335,0.8681126032315978,1.1072219545658448
EUR_JPY_close,132.2267,119.44934470377021,1.106968818689773
USD_SGD_close,1.363936838095238,1.2328873070017954,1.106294817335849
CHF_JPY_close,117.22620000000002,106.11961400359067,1.1046610101317702
EUR_HUF_close,324.3486,294.11114003590666,1.1028096384258066
GBP_SGD_close,1.7921846666666668,1.6268573788150806,1.101623713304237
USD_CNH_close,6.862413999999999,6.230774542190305,1.101374147553035
GBP_CAD_close,1.6958919666666668,1.5413082585278277,1.100293829792678
EUR_HKD_close,9.202772933333334,8.381439174147218,1.0979943589782937
AUD_USD_close,0.723376,0.6605076122082585,1.0951819277018704
CHF_HKD_close,8.137595999999998,7.437900161579891,1.0940716900227234
GBP_CHF_close,1.2588735000000002,1.1511499820466788,1.0935790467214317
NZD_USD_close,0.6654196000000001,0.609757486535009,1.091285658141395
USD_SEK_close,8.780296,8.064294093357269,1.088786680936217
NATGAS_USD_close,2.9648000000000003,2.723159784560144,1.0887352320675105
EUR_NOK_close,9.560847483333333,8.789282513464991,1.0877847501984743
CAD_JPY_close,87.2295,80.2408276481149,1.0870962146917647
GBP_JPY_close,147.8376,136.1007881508079,1.086236178413508
EUR_PLN_close,4.302732999999999,3.9662640574506285,1.0848327135247875
SGD_HKD_close,5.750895999999999,5.320052585278277,1.0809848037806915
UK100_GBP_close,7459.170000000001,6901.513824057451,1.0808020081041727
HK33_HKD_close,27361.410000000003,25317.94147217235,1.0807122699953187
DE30_EUR_close,12422.23,11500.13788150808,1.0801809620017355
HKD_JPY_close,14.364561,13.299649174147218,1.0800706704296255
SGD_JPY_close,82.1943,76.11302872531418,1.0798979015357888
AUD_SGD_close,0.9982913000000002,0.925071777378815,1.0791500988481697
USD_SAR_close,3.7504248650452015,3.477503339317774,1.0784820312439931
AUD_CHF_close,0.6980779523809525,0.6473103231597845,1.0784285796236812
USD_JPY_close,112.24470000000001,104.18914542190304,1.0773166393243447
CAD_HKD_close,6.038875000000001,5.609554847396769,1.0765337293747055
USD_HUF_close,276.3947,257.0298743267505,1.075340758438966
AUD_CAD_close,0.9396665000000001,0.874770592459605,1.074186201616502
GBP_HKD_close,10.24712,9.555428509874327,1.0723872811576056
XCU_USD_close,2.763732,2.5774857989228006,1.0722588660449794
EUR_DKK_close,7.4594315158008655,6.9581550269299814,1.072041580983868
NZD_CHF_close,0.6405071,0.5975204308797127,1.0719417561287388
USD_HKD_close,7.82277438888889,7.29898473967684,1.0717619871657986
CN50_USD_close,11694.72,10935.501077199282,1.0694269898965767
NZD_CAD_close,0.8627618666666667,0.8090830341113106,1.0663452702531533
XAU_NZD_close,1793.8015,1684.6152351885098,1.0648137702490101
NZD_SGD_close,0.9110869500000002,0.8558044165170555,1.0645971584347893
CORN_USD_close,3.4842,3.278617594254937,1.0627039902748345
SG30_SGD_close,363.79,342.3915080789946,1.0624971455660883
USD_NOK_close,8.139421000000002,7.6666675403949744,1.0616634877036382
USD_PLN_close,3.666685666666666,3.461567091561939,1.059255987152389
GBP_PLN_close,4.786671,4.529763877917414,1.0567153452158968
DE10YB_EUR_close,161.278,153.03111669658887,1.0538902380210817
EU50_EUR_close,3389.88,3217.2005385996404,1.053673825839754
USD_MXN_close,18.858638,17.926541885098743,1.0519953106893445
XAU_AUD_close,1639.4069,1565.268515260323,1.0473646432013914
USD_DKK_close,6.349426000000001,6.074779048473967,1.0452110190896617
USB02Y_USD_close,105.63569999999997,101.36331956912028,1.042149176339537
EUR_CZK_close,25.590365,24.59947804308797,1.0402808122666836
AUD_JPY_close,82.12340000000002,79.33171274685816,1.0351900539705974
UK10YB_GBP_close,122.17580000000001,118.11520825852783,1.0343782295382695
USD_THB_close,32.4781,31.507136445242367,1.0308172580661246
AUD_HKD_close,5.690868,5.546127791741472,1.0260975249207303
USB05Y_USD_close,112.90149999999998,110.11447576301616,1.0253102438863892
NZD_JPY_close,75.5042,73.70931956912028,1.0243507936495952
XAU_JPY_close,134830.2,131746.06104129265,1.0234097242401858
USB10Y_USD_close,119.15530000000001,117.03308438061043,1.0181334673919025
XAU_HKD_close,9425.453399999999,9305.925064631956,1.012844326011427
NZD_HKD_close,5.214767,5.149818599640933,1.0126117841050937
USD_CZK_close,21.766093,21.51953353680431,1.011457472476065
XAU_SGD_close,1644.3815000000002,1630.8384542190304,1.0083043453788654
XAU_USD_close,1201.9012,1192.234565529623,1.0081079971591687
XAU_CAD_close,1556.7345,1547.9555960502694,1.0056712892618695
XAU_GBP_close,917.0681000000001,912.911249551167,1.0045534003999588
ZAR_JPY_close,7.798599999999999,7.841759425493717,0.9944962063802408
USB30Y_USD_close,141.57560000000004,142.93783842010774,0.9904697144215658
XAU_CHF_close,1156.6193,1170.05918491921,0.988513499921683
XAU_EUR_close,1025.1263999999999,1040.701486535009,0.9850340498821943
XAG_NZD_close,21.653464999999997,22.319140736086176,0.9701746700754524
XAG_AUD_close,19.800202999999996,20.743778527827647,0.9545128421728062
XPT_USD_close,827.2373000000001,880.3966660682225,0.9396188466891547
XAG_JPY_close,1631.6299999999999,1750.771274685817,0.9319492634997696
XAG_CAD_close,18.943945,20.52788800718133,0.9228394559329623
XAG_USD_close,14.463962,15.786085673249552,0.9162475295893036
SOYBN_USD_close,8.2775,9.050551166965887,0.9145851835203705
XAG_GBP_close,11.025206666666666,12.094183662477558,0.9116123067382038
XAG_HKD_close,112.38574200000001,123.57604409335727,0.9094460243046509
XAG_SGD_close,19.543702,21.636004667863556,0.9032953310935775
XAG_CHF_close,13.930975,15.500700215439855,0.8987319802574925
XAG_EUR_close,12.348454999999998,13.803937271095153,0.8945603531433838
TRY_JPY_close,20.687800000000003,27.229894075403948,0.759745885999856
